association,rank_within_direction,ensembl_gene_id,symbol,spearman_rho,p_value,BH_FDR,RNA_direction,RNA_average_post_log2FC,RNA_average_post_FDR
Positive,78,ENSMUSG00000117901,ENSMUSG00000117901,0.962351520069081,0.000032858564597695,0.00385049255024879,lower,-1.31630799026515,0.000337902399233396
Positive,79,ENSMUSG00000117916,ENSMUSG00000117916,0.957427107756338,0.0000502792784134469,0.0056347899548636,lower,-1.37198917561107,0.000380290918524104
Positive,79,ENSMUSG00000053909,Rhox10,0.957427107756338,0.0000502792784134469,0.0056347899548636,lower,-1.03400052148057,0.00572685446907018
Positive,79,ENSMUSG00000072945,Ripply1,0.957427107756338,0.0000502792784134469,0.0056347899548636,lower,-1.91143548054055,0.00000261555099077837
Positive,79,ENSMUSG00000057182,Scn3a,0.957427107756338,0.0000502792784134469,0.0056347899548636,lower,-2.07689938342426,0.0000000254438877547028
Positive,79,ENSMUSG00000039179,Tekt5,0.957427107756338,0.0000502792784134469,0.0056347899548636,lower,-1.54081054955484,0.00000151968054834106
Positive,84,ENSMUSG00000018500,Adora2b,0.95,0.0000876252396508624,0.00654191495381655,lower,-1.07692358467409,0.000000000000000000000197525309196064
Positive,84,ENSMUSG00000030470,Csrp3,0.95,0.0000876252396508624,0.00654191495381655,lower,-1.76489864097018,0.0000000383715743076071
Positive,84,ENSMUSG00000097892,Gm26801,0.95,0.0000876252396508624,0.00654191495381655,lower,-1.23339476665437,0.000177934597364053
Positive,84,ENSMUSG00000033207,Mamdc2,0.95,0.0000876252396508624,0.00654191495381655,lower,-1.38706514219771,0.000000000000000000000000000000241071684377045
Positive,84,ENSMUSG00000051590,Map3k19,0.95,0.0000876252396508624,0.00654191495381655,lower,-1.48348618459433,0.0000000441700090082228
Positive,84,ENSMUSG00000045659,Plekha7,0.95,0.0000876252396508624,0.00654191495381655,lower,-1.30375972965932,0.00000000000000681881965006149
Positive,84,ENSMUSG00000043333,Rhbdl2,0.95,0.0000876252396508624,0.00654191495381655,lower,-1.52182122779373,0.000000000000897643929749139
Positive,84,ENSMUSG00000009394,Syn2,0.95,0.0000876252396508624,0.00654191495381655,lower,-1.16370671728521,0.000000034539715657903
Positive,84,ENSMUSG00000020577,Tspan13,0.95,0.0000876252396508624,0.00654191495381655,lower,-1.49168045375107,0.0000000479403878854494
Positive,84,ENSMUSG00000057948,Unc13d,0.95,0.0000876252396508624,0.00654191495381655,lower,-1.35695331525122,0.0000000040114434510641
Positive,84,ENSMUSG00000002266,Zim1,0.95,0.0000876252396508624,0.00654191495381655,lower,-1.25973299005212,0.0000000000000000000000000000000000000000000847650378652447
Positive,95,ENSMUSG00000090439,Gm17455,0.949288905069135,0.0000920002280999569,0.00654191495381655,lower,-1.87608910923118,0.000000000479979877031923
Positive,96,ENSMUSG00000116760,ENSMUSG00000116760,0.945614971893967,0.000117091459441091,0.00779568916634463,lower,-1.65306563028792,0.00000464603192113931
Positive,96,ENSMUSG00000057003,Myh4,0.945614971893967,0.000117091459441091,0.00779568916634463,lower,-1.83486049173135,0.00000000000000534584730578321
Positive,98,ENSMUSG00000041608,Entpd3,0.93724669780641,0.000191631342265743,0.0110776776995236,lower,-1.09796238505779,0.00334955949906397
Positive,99,ENSMUSG00000109962,1700025L06Rik,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.26147439264572,0.000000152949880259806
Positive,99,ENSMUSG00000106296,4632404M16Rik,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-2.48219747320499,0.0000000000000705177818890644
Positive,99,ENSMUSG00000048489,8430408G22Rik,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.37484166190981,0.0000000106156366681094
Positive,99,ENSMUSG00000006457,Actn3,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.56230445972878,0.00000000000000000000000000108445960375258
Positive,99,ENSMUSG00000044017,Adgrd1,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-2.59584594282009,0.0000000000000000117882324518602
Positive,99,ENSMUSG00000078247,Airn,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.16138122692635,0.000000000000246774595538075
Positive,99,ENSMUSG00000032503,Arpp21,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-2.16761047990826,0.000000000000000000000000027890730038603
Positive,99,ENSMUSG00000007097,Atp1a2,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.92602512606454,0.000000000000000383137264465972
Positive,99,ENSMUSG00000074892,B3galt5,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-2.2924041732327,0.0000000000786397901635382
Positive,99,ENSMUSG00000026407,Cacna1s,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-2.91754545436991,0.00000000000000000000318094664591338
Positive,99,ENSMUSG00000020882,Cacnb1,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.28319092932779,0.00000000000000000000000000000000422157956887227
Positive,99,ENSMUSG00000027861,Casq2,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-2.93019165415554,0.000000000000000000248178578634151
Positive,99,ENSMUSG00000028977,Casz1,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.02216788284018,0.00000000201325717973578
Positive,99,ENSMUSG00000038591,Colec10,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-2.1230999832396,0.0000000042030343182027
Positive,99,ENSMUSG00000003617,Cp,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.03993102118073,0.00000000000000000000000000000000000086107549700149
Positive,99,ENSMUSG00000019929,Dcn,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-2.10949625935028,0.0000000000222947801852067
Positive,99,ENSMUSG00000027249,F2,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-2.30161510501165,0.00000000000802383073611785
Positive,99,ENSMUSG00000035095,Fam167a,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-2.00872692399347,0.000000000000000000000000000000000245696569526026
Positive,99,ENSMUSG00000078956,Gm14221,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.50691816528307,0.00000000000000000000000000000244962394325104
Positive,99,ENSMUSG00000099686,Gm29460,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.09875853961715,0.000737942726504109
Positive,99,ENSMUSG00000114206,Gm30551,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.09748574827664,0.00000594751882934255
