met_id,feature,mz,rt_min,accepted_compound_id,accepted_description,adducts,formula,trajectory_direction,average_post_log2FC,average_post_fdr,Early_D0,Early_D1,Early_D6,Middle_D0,Middle_D1,Middle_D6,Late_D0,Late_D1,Late_D6
MET353,2.13_385.2743m/z,385.2743277,2.12665,"","","","",higher,1.88716781372936,0.0000220060200157857,4.25190419638453,3.75414371738505,6.87837165730316,3.33132331638775,5.41657929506448,8.73898561628922,5.29517643576719,6.74538578158692,9.72301606069333
MET398,2.35_806.5717m/z,806.5717468,2.346233333,PC026,[PC 38:6] 16:0-22:6 PC,M+H,C46H80NO8P,lower,-1.41669538156852,0.0000403951060829019,11.3401420256471,9.99371367093137,10.0942344302047,9.12894556351937,7.54599131082262,8.62917124671564,10.7523397114962,9.54440904031247,8.70104940859643
MET450,2.56_759.8862m/z,759.886209,2.561033333,"","","","",lower,-0.619317692788704,0.0000442882680317732,9.34347439385226,12.0991577701902,11.0622651624068,8.14242138701694,10.6074520904557,10.8727524209347,8.90716298283223,11.5205025389605,10.3623154776883
MET733,3.65_802.6756m/z,802.6756067,3.654066667,"","","","",higher,1.16364491093513,0.0000456102320167853,3.69275094385139,8.83552296546377,9.16430872851003,3.35941761051805,9.80081841739245,9.90244577379624,4.87997872351582,10.4727154873797,9.94294620154957
MET517,2.76_750.5427m/z,750.5426906,2.760616667,"","","","",lower,-0.653167890023925,0.000109891163944876,11.4790123236897,12.898542124297,13.875466123681,7.49209536517488,11.6645448288135,13.3303774034437,10.2026944306161,12.0452452443991,13.3126709048018
MET466,2.61_705.5892m/z,705.5891622,2.609033333,"","","","",higher,1.51200940802197,0.000148937830982894,6.090492513491,11.2469129905458,12.7084288188251,5.48941723533747,12.9807536354283,13.9082144029531,8.72943838586102,13.7586100788203,13.9675422449261
MET192,1.56_339.2879m/z,339.2879062,1.555966667,"","","","",higher,0.643604294411772,0.000183235742533595,6.99909292020651,10.7672281440699,8.64675754813957,3.72202836408683,10.9449614899105,9.8559529619367,6.96909790832467,11.0859111545349,9.5361887797965
MET171,1.51_131.0713m/z,131.0712949,1.50795,"","","","",lower,-1.31590024362356,0.000191729682419275,0.145375565512821,3.75539255508841,8.90004016734267,0.478708898846154,1.04220155569446,7.96528605683464,0.145375565512821,2.83911527936805,7.75400398043802
MET515,2.76_609.5269m/z,609.5268927,2.764616667,"","","","",lower,-2.19464000662916,0.000219285303615669,0.646995341658341,2.96189249732259,7.42534133712806,1.38960879689299,0.980328674991674,3.06000675640578,1.1662613494921,0.646995341658341,4.70643520214894
MET442,2.53_734.0560m/z,734.0560445,2.529716667,"","","","",lower,-0.625972515350898,0.000316983848573496,8.82309270461938,10.0707112002163,8.52219864056014,5.01522623168545,9.09921654171844,8.51475613996482,7.7359372338894,9.23671075523366,7.78896424378202
MET505,2.74_341.3055m/z,341.3054898,2.74055,"","","","",higher,4.40140779613043,0.000446211373761654,-7.94095728368084,-8.27429061701417,4.48968498393641,-8.27429061701417,-0.936152861559632,7.90975645476997,-2.44724122852204,0.0286491262649628,8.7321807517188
MET094,0.97_508.3749m/z,508.3749454,0.96945,LPC020,PC(P-18:0/0:0),M+H,C26H54NO6P,higher,2.44757957379472,0.000458959752291628,-0.307160306348293,3.28713438057111,2.77759024878506,-0.307160306348293,5.47338864132617,5.57203734036499,-0.307160306348293,5.11429332943648,4.97178512011169
MET464,2.60_760.0995m/z,760.0995279,2.600983333,"","","","",lower,-1.2249897768909,0.000748575713796142,5.07307433599365,8.23279487564579,7.96558616336982,2.60521690654703,4.50097293328432,7.8732797729184,5.12394822160648,7.49633275223012,7.12190802295662
MET451,2.56_760.0660m/z,760.0659926,2.561033333,"","","","",lower,-0.985457801002699,0.000767631212603213,4.57084143767388,10.0166061968073,9.1775947654655,2.44220773495788,8.56424467883542,9.01581704689239,2.45294889402257,9.25706969240519,8.057394298828
MET765,4.11_197.0817m/z,197.0817225,4.109116667,"","","","",lower,-0.625668791781361,0.000798371998605797,8.06036626659322,9.85258697550143,10.746727500032,7.5958391988493,8.96097846772636,10.1910737838986,8.10181504619559,8.55250288744342,9.59151103413735
MET435,2.52_729.5907m/z,729.5906633,2.521683333,SM007,18:1 SM (d18:1/18:1(9Z)),M+H,C41H81N2O6P,higher,3.0290028732783,0.000921865694809516,3.77284524017748,1.58657119714235,4.90465024956174,5.37071122687689,3.83693379759421,9.05282261340433,4.85187756604818,4.52010991716257,10.0339663166366
MET059,0.32_274.2758m/z,274.2757703,0.32365,FFA010,C16:0  hexadecanoic (palmitic) acid,M+NH4,C16H32O2,lower,-3.5355697803506,0.00174132189287636,3.61100508574716,6.49805721881758,5.34871439867416,1.65454551962999,1.39160831837196,1.1835242888306,6.35679007043315,5.71643458590317,2.45679224923317
MET767,4.11_794.6248n,795.6319584,4.109116667,"","","M+H, M+Na, M+K","",lower,-0.89561008526411,0.00177055705428886,4.43452222547969,8.8748875529325,11.9629972111975,3.40842454728151,7.32293600824332,11.0235837755995,3.74175788061484,7.91499383912515,10.0548559148535
MET364,2.22_704.5236m/z,704.5235648,2.2222,"","","","",lower,-0.728338366723686,0.00862229949137427,10.3224609638027,13.2343399287141,13.6639670652229,5.08498050990036,11.9202685659151,13.0655122730194,11.0182144173835,13.2234225048078,12.587809052349
MET193,1.56_678.4726m/z,678.4726193,1.555966667,"","","","",higher,1.6296124940155,0.0203715684285788,2.71576159728481,5.02255733845012,6.48915157163718,2.71576159728481,5.9836431014036,8.41634957405564,3.69069826280798,6.83386661774376,6.51851889042401
MET634,3.13_785.6508m/z,785.6508237,3.127533333,"","","","",higher,0.648293707958906,0.0208314978166544,6.65208990275478,7.4960233939342,9.97573690437211,4.16459422977423,7.65109002155748,9.99954193033955,7.47190120535319,8.18568841322391,10.6083723430092
MET652,3.20_759.6188n,798.640353,3.195533333,"","","M+H, M+K","",higher,1.04651342645911,0.027771360603083,4.2548392668254,8.29560783534004,6.17013402453782,1.97994310938349,8.91911174841808,6.74574724183437,8.21876942718026,9.62695815040136,7.77336468797302
MET271,1.73_57.0700m/z,57.0700134,1.72755,"","","","",higher,0.775697197956792,0.0355816080119952,0.78740518315321,0.351462403790222,3.63281225975573,1.14890130435625,0.351462403790222,4.04141269400744,0.351462403790222,1.80390191494463,4.40884191343349
