met_id,feature,mz,rt_min,accepted_compound_id,accepted_description,adducts,formula,lipid_direction,lipid_average_post_log2FC,lipid_average_post_fdr,ensembl_gene_id,symbol,RNA_direction,RNA_average_post_log2FC,RNA_average_post_fdr,n_conditions,spearman_rho,p_value_unadjusted,fdr_BH_key_feature_space,absolute_spearman_rho,direction_relationship,leave_one_out_min_rho,leave_one_out_max_rho,leave_one_out_min_absolute_rho,leave_one_out_sign_consistent
MET466,2.61_705.5892m/z,705.5891622,2.609033333,"","","","",higher,1.51200940802197,0.000148937830982894,ENSMUSG00000076469,Trbv13-2,higher,2.81940309429735,0.00000000000126006646962794,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET488,2.67_716.5498m/z,716.5497941,2.669083333,"","","","",lower,-1.04982486748638,0.0000000000224268402790704,ENSMUSG00000078247,Airn,lower,-1.16138122692635,0.000000000000246774595538075,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET488,2.67_716.5498m/z,716.5497941,2.669083333,"","","","",lower,-1.04982486748638,0.0000000000224268402790704,ENSMUSG00000033196,Myh2,lower,-1.7098662621467,0.00000444842753692232,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET488,2.67_716.5498m/z,716.5497941,2.669083333,"","","","",lower,-1.04982486748638,0.0000000000224268402790704,ENSMUSG00000041731,Pgm5,lower,-2.46713241024853,0.00000000000000000596712839510443,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET517,2.76_750.5427m/z,750.5426906,2.760616667,"","","","",lower,-0.653167890023925,0.000109891163944876,ENSMUSG00000101746,2310043L19Rik,lower,-1.63510732877922,0.000000343118796556514,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET517,2.76_750.5427m/z,750.5426906,2.760616667,"","","","",lower,-0.653167890023925,0.000109891163944876,ENSMUSG00000079460,4933403O08Rik,lower,-1.79233061266532,0.000000057683438439729,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET517,2.76_750.5427m/z,750.5426906,2.760616667,"","","","",lower,-0.653167890023925,0.000109891163944876,ENSMUSG00000028558,Calr4,lower,-1.68427311845697,0.0000000124377399092672,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET517,2.76_750.5427m/z,750.5426906,2.760616667,"","","","",lower,-0.653167890023925,0.000109891163944876,ENSMUSG00000012123,Crybg2,lower,-2.06840669577079,0.00000000126726352694581,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET517,2.76_750.5427m/z,750.5426906,2.760616667,"","","","",lower,-0.653167890023925,0.000109891163944876,ENSMUSG00000074971,Fibin,lower,-1.75252066632259,0.00000000047719541908341,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET517,2.76_750.5427m/z,750.5426906,2.760616667,"","","","",lower,-0.653167890023925,0.000109891163944876,ENSMUSG00000025175,Fn3k,lower,-1.67390026620602,0.000000178119359491896,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET517,2.76_750.5427m/z,750.5426906,2.760616667,"","","","",lower,-0.653167890023925,0.000109891163944876,ENSMUSG00000109156,Gm45194,lower,-1.49055457514426,0.0000307815124406078,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET517,2.76_750.5427m/z,750.5426906,2.760616667,"","","","",lower,-0.653167890023925,0.000109891163944876,ENSMUSG00000038403,Hfe2,lower,-2.49055537319956,0.0000000000373154800753488,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET517,2.76_750.5427m/z,750.5426906,2.760616667,"","","","",lower,-0.653167890023925,0.000109891163944876,ENSMUSG00000033196,Myh2,lower,-1.7098662621467,0.00000444842753692232,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET517,2.76_750.5427m/z,750.5426906,2.760616667,"","","","",lower,-0.653167890023925,0.000109891163944876,ENSMUSG00000024049,Myom1,lower,-1.88808225065593,0.00000000000381331293999762,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET517,2.76_750.5427m/z,750.5426906,2.760616667,"","","","",lower,-0.653167890023925,0.000109891163944876,ENSMUSG00000041731,Pgm5,lower,-2.46713241024853,0.00000000000000000596712839510443,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET517,2.76_750.5427m/z,750.5426906,2.760616667,"","","","",lower,-0.653167890023925,0.000109891163944876,ENSMUSG00000038132,Rbm24,lower,-2.10323361917252,0.00000017925730229868,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET517,2.76_750.5427m/z,750.5426906,2.760616667,"","","","",lower,-0.653167890023925,0.000109891163944876,ENSMUSG00000049537,Tecrl,lower,-1.93783055930232,0.0000000000000578780998199664,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET517,2.76_750.5427m/z,750.5426906,2.760616667,"","","","",lower,-0.653167890023925,0.000109891163944876,ENSMUSG00000091898,Tnnc1,lower,-1.79789323113405,0.000000000000000000000000000000391390518658196,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET517,2.76_750.5427m/z,750.5426906,2.760616667,"","","","",lower,-0.653167890023925,0.000109891163944876,ENSMUSG00000039891,Txlnb,lower,-1.09530219289817,0.00000000000246902284539927,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET517,2.76_750.5427m/z,750.5426906,2.760616667,"","","","",lower,-0.653167890023925,0.000109891163944876,ENSMUSG00000018845,Unc45b,lower,-2.53722720754346,0.000000000000000000648452914341937,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET535,2.82_731.6056m/z,731.605616,2.8167,SM006,18:0 SM (d18:1/18:0),M+H,C41H83N2O6P,higher,3.27768874471399,0.0000000000000631540471227429,ENSMUSG00000027386,Fbln7,higher,2.51213131951805,0.000000000000000000000000000000000041897759756397,9,0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,same passage direction,0.976190476190476,1,0.976190476190476,TRUE
MET535,2.82_731.6056m/z,731.605616,2.8167,SM006,18:0 SM (d18:1/18:0),M+H,C41H83N2O6P,higher,3.27768874471399,0.0000000000000631540471227429,ENSMUSG00000038264,Sema7a,lower,-1.86305244297062,0.000000000000000000000000000000000000000000000161370865224805,9,-0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,opposite passage direction,-1,-0.976190476190476,0.976190476190476,TRUE
MET612,3.04_796.6230m/z,796.6230276,3.036233333,"","","","",higher,2.49615297638977,0.00000000000000589570056651193,ENSMUSG00000062309,Rpp25,lower,-1.0565183081145,0.000698283473383457,9,-0.983333333333333,0.00000193619630374592,0.00107962421773942,0.983333333333333,opposite passage direction,-1,-0.976190476190476,0.976190476190476,TRUE
