ensembl_gene_id,symbol,trajectory_direction,average_post_log2FC,average_post_fdr,Early_D0,Early_D1,Early_D6,Middle_D0,Middle_D1,Middle_D6,Late_D0,Late_D1,Late_D6
ENSMUSG00000046546,Fam43a,higher,1.26770630230072,0.000000000000744978532744621,3.63996727782637,4.01902792249743,6.80192104430957,3.35601588443024,5.00650176058779,7.540872789907,3.61323628771944,4.46279083859399,8.12812081167852
ENSMUSG00000028217,Cdh17,higher,1.62587459088428,0.000000000000764278631707022,2.83700626226053,2.94266668405452,3.41865514567053,3.72820715331379,5.04491538196554,3.54596676334504,4.21490995524369,5.62111980133419,5.33688620267936
ENSMUSG00000038756,Ttll6,higher,2.17630906478366,0.000000000000784251809725643,1.78811657742816,2.93628533047862,1.24915931637823,3.13698385590166,4.78499487005871,2.64597931112486,4.70906038025023,5.39741951247311,3.86142624632508
ENSMUSG00000060459,Kng2,lower,-2.59411568815076,0.000000000000806324716779878,0,2.88011167676623,6.26370951620766,0,0.322044957382002,5.81340166174255,0,0,2.50204664839845
ENSMUSG00000070337,Gpr179,lower,-1.72769499763031,0.000000000000828800634448988,3.18565607797043,6.43449054576961,5.25142400054019,1.97961838818904,5.16413806017708,4.46465794174768,1.36317873625841,3.6502813492324,2.69643892087981
ENSMUSG00000110411,Gm45457,lower,-1.6633725909669,0.00000000000087030894749988,4.87976175327963,6.27272790852245,7.02607855875466,2.71284745118622,4.9366982282402,5.96006295985689,2.07366893050361,4.01399592095142,5.62419014834901
ENSMUSG00000050272,Dscam,lower,-2.50606770634785,0.000000000000879883631825162,3.88541542341158,4.92228693147957,5.00770306859395,2.88534249483359,3.70465720739698,4.13299222569005,1.22815151148025,1.82923709451708,2.03661736847279
ENSMUSG00000043333,Rhbdl2,lower,-1.52182122779373,0.000000000000897643929749139,2.89259582612292,5.78900253475311,7.32441948198708,2.49580403663317,4.5915074343234,6.59821001545472,0.760210169192855,3.57041332884028,5.47233827274873
ENSMUSG00000026725,Tnn,higher,2.35165989651064,0.000000000000901595505527681,1.01235372474655,1.31942203643839,2.23574479456182,2.07883307479221,1.86752828890719,4.37596893520252,3.57246866800878,3.29101891527219,7.31485850986457
ENSMUSG00000030091,Nup210,lower,-2.75775421266431,0.000000000000950288290663143,2.15212017415391,3.27600564118515,5.68907410061096,1.00029715849384,0.833491566868182,4.24287545794406,0,0.36974116785721,2.8211441805839
ENSMUSG00000058624,Gda,lower,-2.8676143025483,0.000000000000982760600253791,2.07343539916264,3.55151951446691,4.31586820142516,1.34226106079363,1.58712538706121,2.59163655420976,0,0.332976157034891,1.0376376700815
ENSMUSG00000057074,Ces1g,higher,2.54340080829046,0.00000000000105325073250366,0.342796255440609,0,1.73508657766766,2.85099562625924,2.19700854169276,2.75058984156603,5.08746027218301,4.61533708762088,4.88213867525168
ENSMUSG00000049092,Gpr137c,lower,-1.55622210444274,0.00000000000106097313945193,4.84543077875303,5.28065723819845,6.19795493891953,3.38472374025912,4.43819531120993,5.08150351468932,2.77249624033463,3.56400951082847,4.0348325263944
ENSMUSG00000054934,Kcnmb4,higher,1.775803777974,0.00000000000119435101712017,3.11788469189985,3.67393278299126,3.20092753734119,4.08894520054013,5.36032652686457,3.95623766676234,4.31876386995258,5.79334997971139,5.07163055393943
ENSMUSG00000076469,Trbv13-2,higher,2.81940309429735,0.00000000000126006646962794,0.332682073129159,0.530688237425458,2.06355675762408,0,1.75082747651865,3.97984068150244,0.382585396812875,3.05842786068662,5.3513294487392
ENSMUSG00000019775,Rgs17,higher,1.08674385743887,0.00000000000137120821406792,4.50195738616861,4.94242457424602,5.40688209352976,5.14398669666726,6.20558469896588,6.18021963649684,5.11276217006619,5.85557415689552,6.38881895288663
ENSMUSG00000026489,Coq8a,lower,-1.03878591349885,0.00000000000148286166171284,2.39509098985853,5.09274730338277,9.95971664226122,3.83618396426064,4.63011649774886,9.49143866508589,3.70932354758948,4.27819104080831,8.69046855252802
ENSMUSG00000036172,Cd200r3,lower,-2.22183811712615,0.00000000000149742328276061,4.56077725633865,5.36346095313565,5.4157994971123,2.49580403663317,3.77604563954205,3.94687833580446,1.2721519196945,2.54051494813551,2.72239346144275
ENSMUSG00000049916,2610318N02Rik,lower,-1.55545451319725,0.00000000000152740632293665,6.54337807226642,5.27105281187063,3.2840165949169,5.9810681548438,4.48169845141626,2.9314570367064,4.77437950452771,3.56314823770881,0.349588128601582
ENSMUSG00000064325,Hhip,lower,-1.51848299510054,0.00000000000154031182357307,10.528025955885,9.96942067857969,5.99048513321582,9.28585147619908,9.03560699202379,5.67411262054318,7.62723718463624,7.69374977636939,2.47382702959505
ENSMUSG00000031289,Il13ra2,higher,1.96544371455892,0.00000000000165454714638735,1.01476628075468,3.18785667561675,5.27915303388088,1.03570783989702,4.55087890091377,6.47785318730096,2.20728950466127,4.61944054739143,6.98633588065988
ENSMUSG00000039954,Stk32a,higher,1.26454277234367,0.00000000000177813894481441,4.49898124781425,4.13128205534858,4.64980707222305,3.72984774853117,4.96170546416557,5.35408223160969,4.7769844550187,5.93342652370083,5.504244959646
ENSMUSG00000053702,Nebl,lower,-1.82030255421598,0.00000000000199392635987104,8.63259622018559,6.40260721791737,6.66667328681332,6.58121948908386,5.74138515194501,5.32180174370073,5.13080767956568,3.97535214043327,4.49811144322384
ENSMUSG00000039745,Htatip2,lower,-2.03391510705098,0.00000000000215962887617624,5.38266737417572,4.97641361070874,4.31935948462786,3.07416825129455,3.64204315147446,2.61333134516172,2.97558558183868,2.32647842555396,1.73180116664329
